# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   3.0.1      # Version number
#           PDG          Width
DECAY        25     1.45181703E+00   # Lightest neutral Higgs scalar
     8.81106654E-04    2          21        21   # BR(H_1 -> gluon gluon)
     7.72378438E-07    2          13       -13   # BR(H_1 -> muon muon)
     2.18372610E-04    2          15       -15   # BR(H_1 -> tau tau)
     1.48166619E-06    2           3        -3   # BR(H_1 -> s sbar)
     2.08171014E-04    2           4        -4   # BR(H_1 -> c cbar)
     1.98268444E-03    2           5        -5   # BR(H_1 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_1 -> t tbar)
     7.18733016E-01    2          24       -24   # BR(H_1 -> W+ W-)
     2.77775743E-01    2          23        23   # BR(H_1 -> Z Z)
     4.40824094E-05    2          22        22   # BR(H_1 -> gamma gamma)
     1.54569648E-04    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     1.65410161E+00   # 2nd neutral Higgs scalar
     6.56974130E-04    2          21        21   # BR(H_2 -> gluon gluon)
     3.26193936E-07    2          13       -13   # BR(H_2 -> muon muon)
     9.22435347E-05    2          15       -15   # BR(H_2 -> tau tau)
     5.86322583E-07    2           3        -3   # BR(H_2 -> s sbar)
     1.18669205E-04    2           4        -4   # BR(H_2 -> c cbar)
     8.24002340E-04    2           5        -5   # BR(H_2 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_2 -> t tbar)
     6.91320054E-01    2          24       -24   # BR(H_2 -> W+ W-)
     3.06770444E-01    2          23        23   # BR(H_2 -> Z Z)
     1.19945832E-05    2          22        22   # BR(H_2 -> gamma gamma)
     5.98287454E-05    2          23        22   # BR(H_2 -> Z gamma)
     1.44876712E-04    2          23        36   # BR(H_2 -> A_1 Z)
DECAY        45     2.18907346E+01   # 3rd neutral Higgs scalar
     1.32653660E-03    2          21        21   # BR(H_3 -> gluon gluon)
     2.40676378E-07    2          13       -13   # BR(H_3 -> muon muon)
     6.80711356E-05    2          15       -15   # BR(H_3 -> tau tau)
     3.71923853E-07    2           3        -3   # BR(H_3 -> s sbar)
     2.15819009E-04    2           4        -4   # BR(H_3 -> c cbar)
     6.39113717E-04    2           5        -5   # BR(H_3 -> b bbar)
     6.96017324E-01    2           6        -6   # BR(H_3 -> t tbar)
     3.75788113E-04    2          24       -24   # BR(H_3 -> W+ W-)
     1.81890009E-04    2          23        23   # BR(H_3 -> Z Z)
     6.62180573E-06    2          22        22   # BR(H_3 -> gamma gamma)
     1.75564305E-06    2          23        22   # BR(H_3 -> Z gamma)
     1.14575767E-02    2          25        25   # BR(H_3 -> H_1 H_1)
     7.33376762E-03    2          25        35   # BR(H_3 -> H_1 H_2)
     8.63145542E-05    2          36        36   # BR(H_3 -> A_1 A_1)
     2.80201298E-01    2          23        36   # BR(H_3 -> A_1 Z)
     2.08751077E-03    2     1000006  -1000006   # BR(H_3 -> ~t_1 ~tbar_1)
DECAY        36     6.74868172E-04   # Lightest pseudoscalar
     1.72114885E-01    2          21        21   # BR(A_1 -> gluon gluon)
